id,betreff,text
14,USt-ID nachtragen,"Guten Tag, auf Rechnung 2024-11930 fehlt unsere Umsatzsteuer-ID (DE812345678). Bitte korrigieren Sie die Rechnung und senden Sie sie erneut."
15,Zahlung auf Rechnung möglich?,"Hallo, wir sind ein Schulträger und dürfen nur auf Rechnung bestellen. Ist das bei Ihnen für Firmenkunden möglich?"
16,Gutschrift nicht eingegangen,"Ich habe die Retoure am 20.02. zurückgeschickt, laut Ihrer Mail wurde die Gutschrift am 25.02. veranlasst. Auf meinem Konto ist bis heute nichts eingegangen."
17,Rechnungsbetrag stimmt nicht,"Guten Tag, auf der Rechnung stehen 3 Artikel à 39,90 EUR, bestellt hatte ich aber nur 2. Die Summe ist entsprechend zu hoch. Bitte prüfen. Bestellnr. 885044."
18,SEPA-Lastschrift widerrufen,"Hallo, ich möchte das Lastschriftmandat für mein Kundenkonto widerrufen und künftig per Überweisung zahlen. Wie gehe ich vor?"
19,Rechnung erneut als PDF,"Guten Tag, ich habe die Rechnung zu Bestellung 883990 leider gelöscht. Können Sie mir das PDF noch einmal schicken?"
20,Skonto abgezogen - trotzdem Mahnung,"Wir haben innerhalb von 10 Tagen gezahlt und wie vereinbart 2% Skonto abgezogen. Jetzt kommt eine Mahnung über die Differenz. Bitte klären Sie das."
21,Gerät nach drei Tagen defekt,"Sehr geehrtes Team, das gelieferte Gerät hat nach drei Tagen den Betrieb eingestellt und lässt sich nicht mehr einschalten. Ich bitte um Austausch. Bestellnr. 884702."
22,Ware beschädigt angekommen,"Hallo, der Karton war eingedrückt und das Produkt darin hat einen Riss im Gehäuse. Fotos hänge ich an. Bestellnummer 885188."
23,Falscher Artikel geliefert,"Guten Tag, ich hatte Artikel Nr. 4471 in Größe M bestellt, geliefert wurde Artikel 4417 in Größe XL. Bitte um Rücksendeetikett und korrekte Lieferung."
24,Widerruf und Rücksendung,"Sehr geehrte Damen und Herren, ich widerrufe hiermit den Kaufvertrag über Bestellung 885077 fristgerecht und sende die Ware zurück. Bitte bestätigen Sie den Eingang."
25,Teil fehlt in der Verpackung,"Hallo, in der Verpackung fehlten die Befestigungsschrauben, ohne die sich das Regal nicht montieren lässt. Können Sie die nachsenden?"
26,Farbe weicht vom Foto ab,"Guten Tag, der gelieferte Stoff ist deutlich dunkler als auf den Produktfotos. So kann ich ihn nicht verwenden. Wie können wir das lösen?"
27,Reißverschluss nach zwei Wochen kaputt,"Hallo, nach zwei Wochen normaler Nutzung ist der Reißverschluss gerissen. Das ist doch ein Materialfehler - fällt das unter Gewährleistung?"
28,Reparatur dauert seit sechs Wochen,"Ich habe mein Gerät vor sechs Wochen zur Reparatur eingeschickt und höre seitdem nichts. Auf drei E-Mails kam keine Antwort. Ich bin sehr verärgert und erwarte heute eine Rückmeldung, sonst schalte ich einen Anwalt ein."
29,Gerät wird sehr heiß,"Guten Tag, das Ladegerät wird im Betrieb extrem heiß und riecht verschmort. Ich habe es vom Netz genommen. Ist das ein bekanntes Sicherheitsproblem?"
30,Zweite Reklamation - keine Antwort,"Dies ist meine zweite Nachricht zum selben Fall (Ticket vom 02.03.). Der Ersatzartikel war erneut defekt. Ich erwarte jetzt eine Erstattung, keinen weiteren Austausch."
31,Initiativbewerbung Kundenservice,"Sehr geehrte Damen und Herren, ich interessiere mich für eine Tätigkeit in Ihrem Kundenservice und sende Ihnen anbei meinen Lebenslauf. Über eine Rückmeldung freue ich mich."
32,Newsletter abbestellen,"Hallo, bitte nehmen Sie mich aus Ihrem Newsletter-Verteiler. Der Abmeldelink in der Mail funktioniert bei mir nicht."
33,Kooperationsanfrage,"Hallo liebes Team, ich betreibe einen Instagram-Kanal mit 45k Follower:innen im Bereich Wohnen und würde gern eine Zusammenarbeit anfragen. Wen kann ich dazu ansprechen?"
34,Auskunft nach Art. 15 DSGVO,"Sehr geehrte Damen und Herren, hiermit beantrage ich Auskunft über alle zu meiner Person gespeicherten Daten gemäß Art. 15 DSGVO sowie deren Löschung. Ich bitte um Bestätigung innerhalb der gesetzlichen Frist."
35,Öffnungszeiten Filiale Köln,"Guten Tag, hat Ihre Filiale in Köln am Samstag geöffnet und bis wann? Danke!"
36,Beratung Größenauswahl,"Hallo, ich bin 1,62 m groß und schwanke zwischen Größe S und M. Welche würden Sie empfehlen?"
37,Geschenkgutschein kaufen,"Guten Tag, kann man bei Ihnen Geschenkgutscheine kaufen, und sind die auch online einlösbar?"
38,Mehr Umsatz durch SEO,"Sehr geehrte Damen und Herren, wir haben Ihre Website analysiert und sehen ungenutztes Potenzial. Gern zeigen wir Ihnen in einem kostenlosen Erstgespräch, wie Sie Ihre Sichtbarkeit bei Google verdreifachen."
39,Kundenkonto löschen,"Hallo, ich möchte mein Kundenkonto vollständig löschen lassen. Bitte bestätigen Sie mir die Löschung."
40,Frage zur Materialzusammensetzung,"Guten Tag, aus welchem Material besteht der Bezug bei Artikel 5520 genau, und ist er für Allergiker geeignet?"
